"code","term_description_r2","term_description_r3"
"B13..","Malignant neoplasm of colon","Malignant tumour of colon; Malignant neoplasm of colon; Colonic cancer; Cancer of colon; CA - Cancer of colon"
"B130.","Malignant neoplasm of hepatic flexure of colon","Malignant tumour of hepatic flexure; Malignant neoplasm of hepatic flexure of colon"
"B131.","Malignant neoplasm of transverse colon","Malignant tumour of transverse colon; Malignant neoplasm of transverse colon"
"B132.","Malignant neoplasm of descending colon","Malignant tumour of descending colon; Malignant neoplasm of descending colon"
"B133.","Malignant neoplasm of sigmoid colon","Malignant tumour of sigmoid colon; Malignant neoplasm of sigmoid colon"
"B134.","Malignant neoplasm of caecum; Carcinoma of caecum","Malignant neoplasm of caecum (& carcinoma); Malignant neoplasm of caecum; Carcinoma of caecum"
"B135.","Malignant neoplasm of appendix","Malignant tumour of appendix; Malignant neoplasm of appendix"
"B136.","Malignant neoplasm of ascending colon","Malignant tumour of ascending colon; Malignant neoplasm of ascending colon"
"B137.","Malignant neoplasm of splenic flexure of colon","Malignant tumour of splenic flexure; Malignant neoplasm of splenic flexure of colon"
"B138.","Malignant neoplasm - overlapping lesion of colon","Malignant neoplasm - overlapping lesion of colon"
"B139.","Hereditary nonpolyposis colon cancer","See XaFsw"
"B13y.","Malignant neoplasm of other specified sites of colon","Malignant neoplasm of other specified sites of colon"
"B13z.","Malignant neoplasm of colon NOS; Colonic cancer","Malignant neoplasm of colon (& NOS); Colonic cancer; Malignant neoplasm of colon NOS"
"B14..","Malignant neoplasm of rectum - rectosigmoid junction and anus","Malignant neoplasm of rectum - rectosigmoid junction and anus"
"B140.","Malignant neoplasm of rectosigmoid junction","Malignant tumour of rectosigmoid junction; Malignant neoplasm of rectosigmoid junction"
"B141.","Malignant neoplasm of rectum; Carcinoma of rectum; Rectal carcinoma","Malignant neoplasm of rectum (& carcinoma); Carcinoma of rectum; Malignant neoplasm of rectum; Rectal carcinoma"
"B142.","Malignant neoplasm of anal canal; Anal carcinoma","Malignant neoplasm of anal canal (& anal carcinoma); Malignant neoplasm of anal canal; Anal carcinoma"
"B1420","Malignant neoplasm of cloacogenic zone","See X78OW"
"B143.","Malignant neoplasm of anus unspecified","Malignant neoplasm of anus unspecified"
