read_2,term_code,term_description,orig_read_code
0....,0,Occupations,0....
0....,11,Job,0....
01...,0,"Top managers",01...
01...,11,"Administrators - top",01...
011..,0,"National gov't. top managers",011..
0111.,0,"Minister of the crown",0111.
0111.,11,"Minister - government",0111.
0112.,0,"Member of parliament",0112.
0113.,0,"Senior civil servant",0113.
011Z.,0,"Nat. gov't. general admin. NOS",011Z.
012..,0,"Local gov't.- top managers",012..
0121.,0,"Local gov't.- chief executive",0121.
012Z.,0,"Local gov't.- top manager NOS",012Z.
013..,0,"Top managers - business",013..
013..,11,"Business - top men",013..
013..,12,"Director - large company",013..
0131.,0,"Chairman of company board",0131.
0132.,0,"Managing director",0132.
0133.,0,"Company director",0133.
0134.,0,"General manager",0134.
013Z.,0,"Top manager - business NOS",013Z.
01Z..,0,"Other top managers",01Z..
02...,0,"Management support professions",02...
021..,0,"Legal service",021..
021..,11,"Law occupations",021..
021..,12,"Legal occupations",021..
0211.,0,Judge,211
0212.,0,"Officer of the court",212
0212.,11,"Court officer",212
0213.,0,Counsel,213
0213.,11,"Advocate - legal",213
0213.,12,Barrister,213
0213.,13,"Counsel - legal",213
0214.,0,Solicitor,214
0215.,0,"Parliamentary counsel",215
0216.,0,"Parliamentary agent",216
0217.,0,"Barrister's clerk",217
0218.,0,"Solicitor's managing clerk",218
021Z.,0,"Legal service NOS",021Z.
022..,0,Adjudicators,022..
022..,11,"Adjudicator's - top",022..
022..,12,"Appeals tribunal member",022..
022..,13,"Commission - inq.- member",022..
022..,14,"Inspector - housing/plan",022..
0221.,0,"Housing/planning inspector",221
0221.,11,"Housing inspector",221
0221.,12,"Planning inspector",221
0222.,0,"Adjudicator N.I. regulations",222
0223.,0,"Appeals tribunal chairman",223
0224.,0,"Appeals tribunal member",224
0225.,0,"Inquiry commission chairman",225
0226.,0,"Inquiry commission member",226
022Z.,0,"Adjudicator NOS",022Z.
023..,0,"Company secretaries",023..
0231.,0,"Company secretary",231
0232.,0,"Town clerk",232
0233.,0,"General secretary -trade union",233
0234.,0,"Secretary - trade association",234
0235.,0,"Secretary - professional body",235
0236.,0,"Secretary-charity organisation",236
0237.,0,"Company registrar",237
0238.,0,"Stocks and bonds registrar",238
0239.,0,"Committee secretary",239
023Z.,0,"Company secretary NOS",023Z.
024..,0,Accountants,024..
0241.,0,"Accountant manager",241
0242.,0,Accountant,242
0243.,0,"Cost accountant",243
0244.,0,"Accountant trainee",244
024Z.,0,"Accountant NOS",024Z.
025..,0,Estimators/valuers/assessors,025..
025..,11,"Assessor - insurance",025..
025..,12,Estimator,025..
025..,13,Valuer,025..
0251.,0,"Estimator manager",251
0252.,0,"Engineering estimator",252
0253.,0,Valuer,253
0254.,0,"Insurance assessor",254
0255.,0,"Average adjuster",255
025Z.,0,"Estimator/valuer/assessor NOS",025Z.
026..,0,"Finance/investment specialists",026..
026..,11,"Finance specialist",026..
026..,12,"Investment specialist",026..
026..,13,"Underwriter - insurance",026..
0261.,0,Stockbroker,261
0262.,0,Stockjobber,262
0263.,0,"Stock exchange clerk",263
0264.,0,Broker,264
0265.,0,"Investment advisor",265
0266.,0,"Investment analyst",266
0267.,0,"Trust officer",267
026Z.,0,"Finance/invest. specialist NOS",026Z.
027..,0,"Insurance/tax specialist",027..
027..,11,"Insurance specialist",027..
027..,12,"Tax consultant",027..
0271.,0,"Insurance broker",271
0272.,0,"Insurance underwriter",272
0273.,0,"Inspector of taxes",273
0273.,11,"Tax inspector",273
0274.,0,"Tax consultant",274
027Z.,0,"Insurance/tax specialist NOS",027Z.
028..,0,"Personel/industrial relations",028..
028..,11,"Industrial relations officer",028..
028..,12,"Personnel officer",028..
0281.,0,"Personnel manager",281
0282.,0,"Personnel officer",282
0283.,0,"Industrial relations officer",283
0284.,0,"Personnel trainee",284
028Z.,0,"Personnel/indust.relat. NOS",028Z.
029..,0,"Organisation/work study spec.",029..
029..,11,"Methods engineer",029..
029..,12,"Organisation study specialist",029..
029..,13,"Work study specialist",029..
0291.,0,"Operational research officer",291
0292.,0,"Organisation/methods officer",292
0293.,0,"Work study officer",293
0294.,0,"Methods engineer",294
0295.,0,"Work measurement engineer",295
0296.,0,"Objectives analyst manager",296
0297.,0,"Standards engineer",297
0298.,0,"Value analyst",298
0299.,0,"Network analyst",299
029A.,0,"Occupational analyst",029A.
029B.,0,"Work study trainee",029B.
029Z.,0,"Organisation/work study NOS",029Z.
02A..,0,Economists/statistic/actuaries,02A..
02A1.,0,Economist,02A1.
02A2.,0,Statistician,02A2.
02A3.,0,Actuary,02A3.
02AZ.,0,"Econom./statistic/actuary NOS",02AZ.
02B..,0,"Systems analyst/computer prog.",02B..
02B1.,0,"Data processing manager",02B1.
02B2.,0,"Systems analyst",02B2.
02B3.,0,"Computer programmer",02B3.
02B4.,0,"Computer trainee",02B4.
02BZ.,0,"System analyst/comp.prog. NOS",02BZ.
02C..,0,"Marketing/sales executives",02C..
02C..,11,"Marketing executive",02C..
02C..,12,"Sales executive",02C..
02C1.,0,"Marketing manager",02C1.
02C2.,0,"Market research analyst",02C2.
02C3.,0,"Company sales manager",02C3.
02C4.,0,"Marketing/sales exec. trainee",02C4.
02CZ.,0,"Marketing/sales executive NOS",02CZ.
02D..,0,"Advertising/public relations",02D..
02D..,11,"Advertising executive",02D..
02D1.,0,"Advertising manager",02D1.
02D2.,0,"Advertising account executive",02D2.
02D3.,0,"Media planner",02D3.
02D4.,0,"Advertisement manager",02D4.
02D5.,0,"Public relations officer",02D5.
02DZ.,0,"Advertising/public relat. NOS",02DZ.
02E..,0,"Purchasing officers/buyers",02E..
02E..,11,Buyer,02E..
02E..,12,"Purchasing officer",02E..
02E1.,0,"Purchasing manager",02E1.
02E2.,0,"Retail buyer",02E2.
02E3.,0,"Wholesale buyer",02E3.
02E4.,0,"Purchasing officer",02E4.
02E5.,0,"Buyer - advertising space",02E5.
02E6.,0,"Print buyer - advertising",02E6.
02E7.,0,"Trainee buyer",02E7.
02EZ.,0,"Purchasing officer/buyer NOS",02EZ.
02F..,0,"Property/estate manager",02F..
02F..,11,"Estate manager",02F..
02F..,12,"Property manager",02F..
02F1.,0,"Estate agent",02F1.
02F2.,0,"Land agent",02F2.
02F3.,0,"Trainee estate agent",02F3.
02FZ.,0,"Property/estate manager NOS",02FZ.
02G..,0,"Librarian/information officer",02G..
02G1.,0,Librarian,02G1.
02G2.,0,Archivist,02G2.
02G3.,0,"Information officer",02G3.
02G4.,0,"Gov't. intelligence officer",02G4.
